"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
22729,49939,"8511900000","80","Parts","1972-01-01","#NA",49920,"8511000000","80"
22730,49940,"8511900010","80","For use in certain types of aircraft","1972-01-01","#NA",49939,"8511900000","80"
22731,49941,"8511900090","80","Other","1972-01-01","#NA",49939,"8511900000","80"
22732,49942,"8512000000","80","Electrical lighting or signalling equipment (excluding articles of heading|8539), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles","1972-01-01","#NA",49496,"8500000000","80"
22733,49943,"8512100000","80","Lighting or visual signalling equipment of a kind used on bicycles","1972-01-01","#NA",49942,"8512000000","80"
22734,49948,"8512200000","80","Other lighting or visual signalling equipment","1972-01-01","#NA",49942,"8512000000","80"
22735,109258,"8512200025","80","An electrical component with an integrated LED, in an ABS housing, with:
 
-a voltage of 11 V or more, but not more than 15 V,
 
-a circular shape,
 
-2 terminals,
 
-an outer diameter of the housing of 36 mm or more, but not more than 42,5 mm,
 
-a diode voltage of 42 V or more, but not more than 48 V and 
 
-a current of 55 mA or more, but not more than 65 mA
","2024-07-01","#NA",49948,"8512200000","80"
22736,99949,"8512200030","80","Lighting module, containing at least:<br> <br><br><br>- two LEDs,<br> <br><br><br>- glass or plastic lenses, focusing/scattering the light emitted by the LEDs,<br> <br><br><br>- reflectors redirecting the light emitted by the LEDs,<br>in an aluminium housing with a radiator, mounted at a bracket with an actuator","2016-07-01","#NA",49948,"8512200000","80"
22737,106419,"8512200060","80","Information screen displaying:

-at least time, date and status of safety features in a vehicle, or

-safety information on driving in the lane, blind spot, distance from the vehicle in front, current speed, speed limit,
with an operating voltage of 12 V or more but not more than 14,4 V, of a kind used in the manufacturing of goods of Chapter 87","2022-01-01","#NA",49948,"8512200000","80"
22738,108417,"8512200070","80","Electrical component with light guide integrated with LED, for motor vehicles with:
 
-two parallel ribs in the front area with a distance between them of 1,4 mm or more but not more than 1,8 mm, 
 
-four holes with the dimension of 7,3 mm or more but not more than 7,9 mm in the short direction of the guide, and
 
-a 3 pines connector,
for use in the manufacture of automotive components","2023-01-01","#NA",49948,"8512200000","80"
22739,108418,"8512200080","80","Grab handle light with integrated LED, for motor vehicles: 
 
-a distance between integrated spring clip and surface of 0,85 mm or more but not more than 1,85 mm, 
 
-a length of the housing to two front vertical ribs of 26,45 mm or more but not more than 26,75 mm, and
 
-four horizontal ribs where the distance on the lower area over the base radia between the two is 18,5 mm or more but not more than 18,7 mm, 
for use in the manufacture of automotive components","2023-01-01","#NA",49948,"8512200000","80"
22740,99159,"8512200090","80","Other","2015-07-01","#NA",49948,"8512200000","80"
22741,49949,"8512300000","80","Sound signalling equipment","1972-01-01","#NA",49942,"8512000000","80"
22742,86675,"8512301000","80","Burglar alarms of a kind used for motor vehicles","2007-01-01","#NA",49949,"8512300000","80"
22743,86676,"8512309000","80","Other","2007-01-01","#NA",49949,"8512300000","80"
22744,99950,"8512309020","80","Warning buzzer for parking sensor system in a plastic casing operating on the piezo-mechanic principle, containing:
 
-|a printed circuit board,
 
-|a connector,
 
-|whether or not a metal holder

for use in the manufacture of goods of chapter 87","2016-07-01","#NA",86676,"8512309000","80"
22745,99161,"8512309090","80","Other","2015-07-01","#NA",86676,"8512309000","80"
22746,49950,"8512400000","80","Windscreen wipers, defrosters and demisters","1972-01-01","#NA",49942,"8512000000","80"
22747,98053,"8512400010","80","Car door mirror heating foil:<br> <br><br><br>- with two electrical contacts,<br> <br><br><br>- with an adhesive layer on both sides (on the side of the plastic holder of the mirror and on the side of the mirror glass),<br> <br><br><br>- with a protective paper film on both sides<br>","2014-01-01","#NA",49950,"8512400000","80"
22748,98054,"8512400090","80","Other","2014-01-01","#NA",49950,"8512400000","80"
22749,49951,"8512900000","80","Parts","1972-01-01","#NA",49942,"8512000000","80"
22750,86677,"8512901000","80","Of apparatus of subheading 8512 30 10","2007-01-01","#NA",49951,"8512900000","80"
22751,86678,"8512909000","80","Other","2007-01-01","#NA",49951,"8512900000","80"
22752,49952,"8513000000","80","Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading|8512","1972-01-01","#NA",49496,"8500000000","80"
22753,49953,"8513100000","80","Lamps","1972-01-01","#NA",49952,"8513000000","80"
22754,49954,"8513900000","80","Parts","1972-01-01","#NA",49952,"8513000000","80"
22755,49955,"8514000000","80","Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss","1972-01-01","#NA",49496,"8500000000","80"
22756,107159,"8514110000","10","Resistance heated furnaces and ovens","2022-01-01","#NA",49955,"8514000000","80"
22757,107160,"8514110000","80","Hot isostatic presses","2022-01-01","#NA",107159,"8514110000","10"
22758,107161,"8514190000","80","Other","2022-01-01","#NA",107159,"8514110000","10"
22759,107162,"8514191000","80","Bakery and biscuit ovens","2022-01-01","#NA",107161,"8514190000","80"
22760,107163,"8514198000","80","Other","2022-01-01","#NA",107161,"8514190000","80"
22761,49961,"8514200000","80","Furnaces and ovens functioning by induction or dielectric loss","1972-01-01","#NA",49955,"8514000000","80"
22762,49962,"8514201000","80","Induction furnaces and ovens","1972-01-01","#NA",49961,"8514200000","80"
22763,68877,"8514208000","80","Dielectric furnaces and ovens","1998-01-01","#NA",49961,"8514200000","80"
22764,107164,"8514310000","10","Other furnaces and ovens","2022-01-01","#NA",49955,"8514000000","80"
22765,107174,"8514310000","80","Electron beam furnaces","2022-01-01","#NA",107164,"8514310000","10"
22766,107175,"8514311000","80","Of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies","2022-01-01","#NA",107174,"8514310000","80"
22767,107176,"8514319000","80","Other","2022-01-01","#NA",107174,"8514310000","80"
22768,107177,"8514320000","80","Plasma and vacuum arc furnaces","2022-01-01","#NA",107164,"8514310000","10"
22769,107178,"8514321000","80","Of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies","2022-01-01","#NA",107177,"8514320000","80"
22770,107179,"8514329000","80","Other","2022-01-01","#NA",107177,"8514320000","80"
22771,107180,"8514390000","80","Other","2022-01-01","#NA",107164,"8514310000","10"
22772,107181,"8514391000","80","Of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies","2022-01-01","#NA",107180,"8514390000","80"
22773,107182,"8514399000","80","Other","2022-01-01","#NA",107180,"8514390000","80"
22774,49970,"8514400000","80","Other equipment for the heat treatment of materials by induction or dielectric loss","1972-01-01","#NA",49955,"8514000000","80"
22775,49971,"8514900000","80","Parts","1972-01-01","#NA",49955,"8514000000","80"
22776,102481,"8514903000","80","Of other furnaces and ovens of subheadings 8514 31 10, 8514 32 10 or 8514 39 10","2017-01-01","#NA",49971,"8514900000","80"
22777,102480,"8514907000","80","Other","2017-01-01","#NA",49971,"8514900000","80"
22778,49974,"8515000000","80","Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric machines and apparatus for hot spraying of metals or cermets","1972-01-01","#NA",49496,"8500000000","80"
22779,49975,"8515110000","10","Brazing or soldering machines and apparatus","1972-01-01","#NA",49974,"8515000000","80"
22780,49976,"8515110000","80","Soldering irons and guns","1972-01-01","#NA",49975,"8515110000","10"
22781,49977,"8515190000","80","Other","1972-01-01","#NA",49975,"8515110000","10"
22782,102482,"8515191000","80","Wave soldering machines of a kind used solely or principally for the manufacture of printed circuit assemblies","2017-01-01","#NA",49977,"8515190000","80"
22783,102483,"8515199000","80","Other","2017-01-01","#NA",49977,"8515190000","80"
22784,49978,"8515210000","10","Machines and apparatus for resistance welding of metal","1972-01-01","#NA",49974,"8515000000","80"
22785,49979,"8515210000","80","Fully or partly automatic","1972-01-01","#NA",49978,"8515210000","10"
22786,49980,"8515290000","80","Other","1972-01-01","#NA",49978,"8515210000","10"
22787,49983,"8515310000","10","Machines and apparatus for arc (including plasma arc) welding of metals","1972-01-01","#NA",49974,"8515000000","80"
22788,49984,"8515310000","80","Fully or partly automatic","1972-01-01","#NA",49983,"8515310000","10"
22789,49985,"8515390000","80","Other","1972-01-01","#NA",49983,"8515310000","10"
22790,58454,"8515391300","10","For manual welding with coated electrodes, complete with welding or cutting devices, and consigned with","1995-01-01","#NA",49985,"8515390000","80"
22791,49988,"8515391300","80","Transformers","1972-01-01","#NA",58454,"8515391300","10"
22792,55094,"8515391800","80","Generators or rotary converters or static converters, rectifiers or rectifying apparatus","1995-01-01","#NA",58454,"8515391300","10"
22793,49990,"8515399000","80","Other","1972-01-01","#NA",49985,"8515390000","80"
22794,49991,"8515800000","80","Other machines and apparatus","1972-01-01","#NA",49974,"8515000000","80"
22795,93292,"8515801000","80","For treating metals","2011-01-01","#NA",49991,"8515800000","80"
22796,91778,"8515809000","80","Other","2010-01-01","#NA",49991,"8515800000","80"
22797,50000,"8515900000","80","Parts","1972-01-01","#NA",49974,"8515000000","80"
22798,102484,"8515902000","80","Of wave soldering machines of subheading 8515|19|10","2017-01-01","#NA",50000,"8515900000","80"
22799,102485,"8515908000","80","Other","2017-01-01","#NA",50000,"8515900000","80"
22800,105361,"8515908040","80","Silicone or plastic keyboards, comprising:
 
-parts of common metal, and
 
-whether or not comprising parts of plastic,
 
-epoxy resin reinforced with fiberglass or wood,
 
-whether or not printed or surface-treated,
 
-with or without electrical conductors
 
-with or without a membrane bonded to the keyboard,
 
-with or without mono or multilayer protective film","2020-07-01","#NA",102485,"8515908000","80"
22801,102488,"8515908090","80","Other","2017-01-01","#NA",102485,"8515908000","80"
22802,50001,"8516000000","80","Electric instantaneous or storage water heaters and immersion heaters; electric space-heating apparatus and soil-heating apparatus; electrothermic hairdressing apparatus (for example, hairdryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electrothermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading|8545","1972-01-01","#NA",49496,"8500000000","80"
22803,50002,"8516100000","80","Electric instantaneous or storage water heaters and immersion heaters","1972-01-01","#NA",50001,"8516000000","80"
22804,50004,"8516101100","80","Instantaneous water heaters","1972-01-01","#NA",50002,"8516100000","80"
22805,93293,"8516108000","80","Other","2011-01-01","#NA",50002,"8516100000","80"
22806,108421,"8516108010","80","Tubular Heating Element with mounting flange for washing machines, with:
 
-a nominal output power of 1 700 W at 230 V AC supply voltage, 
 
-a weight of 230 g or more but not more than 250 g, 
 
-a thickness of the external flange of 2 mm or more, 
 
-isolation bushes of steatite or ceramic, and
 
-no flat zones in the design,
for use in the manufacture of home appliance products and their components","2023-01-01","#NA",93293,"8516108000","80"
22807,108420,"8516108090","80","Other","2023-01-01","#NA",93293,"8516108000","80"
22808,50007,"8516210000","10","Electric space-heating apparatus and electric soil-heating apparatus","1972-01-01","#NA",50001,"8516000000","80"
22809,50008,"8516210000","80","Storage heating radiators","1972-01-01","#NA",50007,"8516210000","10"
22810,50009,"8516290000","80","Other","1972-01-01","#NA",50007,"8516210000","10"
22811,50010,"8516291000","80","Liquid-filled radiators","1972-01-01","#NA",50009,"8516290000","80"
22812,50011,"8516295000","80","Convection heaters","1972-01-01","#NA",50009,"8516290000","80"
22813,50012,"8516299100","10","Other","1972-01-01","#NA",50009,"8516290000","80"
22814,50013,"8516299100","80","With built-in fan","1972-01-01","#NA",50012,"8516299100","10"
22815,50014,"8516299900","80","Other","1972-01-01","#NA",50012,"8516299100","10"
22816,50015,"8516310000","10","Electrothermic hairdressing or hand-drying apparatus","1972-01-01","#NA",50001,"8516000000","80"
22817,50016,"8516310000","80","Hairdryers","1972-01-01","#NA",50015,"8516310000","10"
22818,50019,"8516320000","80","Other hairdressing apparatus","1972-01-01","#NA",50015,"8516310000","10"
22819,50020,"8516330000","80","Hand-drying apparatus","1972-01-01","#NA",50015,"8516310000","10"
22820,50021,"8516400000","80","Electric smoothing irons","1972-01-01","#NA",50001,"8516000000","80"
22821,50024,"8516500000","80","Microwave ovens","1972-01-01","#NA",50001,"8516000000","80"
22822,50025,"8516600000","80","Other ovens; cookers, cooking plates, boiling rings; grillers and roasters","1972-01-01","#NA",50001,"8516000000","80"
22823,50026,"8516601000","80","Cookers (incorporating at least an oven and a hob)","1972-01-01","#NA",50025,"8516600000","80"
22824,93295,"8516605000","80","Cooking plates, boiling rings and hobs","2011-01-01","#NA",50025,"8516600000","80"
22825,50030,"8516607000","80","Grillers and roasters","1972-01-01","#NA",50025,"8516600000","80"
22826,50031,"8516608000","80","Ovens for building in","1972-01-01","#NA",50025,"8516600000","80"
22827,50032,"8516609000","80","Other","1972-01-01","#NA",50025,"8516600000","80"
22828,50033,"8516710000","10","Other electrothermic appliances","1972-01-01","#NA",50001,"8516000000","80"
22829,50034,"8516710000","80","Coffee or tea makers","1972-01-01","#NA",50033,"8516710000","10"
22830,50035,"8516720000","80","Toasters","1972-01-01","#NA",50033,"8516710000","10"
22831,50036,"8516790000","80","Other","1972-01-01","#NA",50033,"8516710000","10"
22832,50038,"8516792000","80","Deep fat fryers","1994-01-01","#NA",50036,"8516790000","80"
22833,78900,"8516797000","80","Other","2004-01-01","#NA",50036,"8516790000","80"
22834,85069,"8516797010","80","Ironing boards, including sleeve boards, whether or not free standing, with a steam soaking and/or heating top and/or blowing top","2006-11-01","#NA",78900,"8516797000","80"
22835,86232,"8516797090","80","Other","2006-11-01","#NA",78900,"8516797000","80"
22836,50041,"8516800000","80","Electric heating resistors","1972-01-01","#NA",50001,"8516000000","80"
22837,82537,"8516802000","80","Assembled with an insulated former","2006-01-01","#NA",50041,"8516800000","80"
22838,82539,"8516802010","80","Assembled only with a simple insulated former and electrical connections, used for anti-icing or de-icing, for use in civil aircraft","2006-01-01","#NA",82537,"8516802000","80"
22839,98055,"8516802020","80","Car door mirror heating foil:<br> <br><br><br>- with two electrical contacts,<br> <br><br><br>- with an adhesive layer on both sides (on the side of the plastic holder of the mirror and on the side of the mirror glass),<br> <br><br><br>- with a protective paper film on both sides<br>","2014-01-01","#NA",82537,"8516802000","80"
22840,82542,"8516802090","80","Other","2006-01-01","#NA",82537,"8516802000","80"
22841,82538,"8516808000","80","Other","2006-01-01","#NA",50041,"8516800000","80"
22842,50044,"8516900000","80","Parts","1972-01-01","#NA",50001,"8516000000","80"
22843,50045,"8516900010","80","For heating aircraft and wing surfaces, mounted on propeller aeroplanes, and for use in certain types of aircraft","1972-01-01","#NA",50044,"8516900000","80"
22844,90894,"8516900051","10","Other","2009-01-01","#NA",50044,"8516900000","80"
22845,85070,"8516900051","80","Legs, tops and iron rests of ironing boards, including of sleeve boards, whether or not free standing, with a steam soaking and/or heating top and/or blowing top","2006-11-01","#NA",90894,"8516900051","10"
22846,97548,"8516900070","80","Inner pot<br> <br><br><br>- containing side and central openings,<br> <br><br><br>- of annealed aluminium,<br> <br><br><br>- with a ceramic coating, heat resistant to more than 200° C<br>for use in the manufacture of an electric fryer","2013-07-01","#NA",90894,"8516900051","10"
22847,62892,"8516900099","80","Other","1996-01-01","#NA",90894,"8516900051","10"
22848,50047,"8517000000","80","Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 8443 , 8525 , 8527 or 8528","1972-01-01","#NA",49496,"8500000000","80"
22849,60456,"8517110000","10","Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks","1996-01-01","#NA",50047,"8517000000","80"
22850,60457,"8517110000","80","Line telephone sets with cordless handsets","1996-01-01","#NA",60456,"8517110000","10"
22851,107183,"8517130000","80","Smartphones","2022-01-01","#NA",60456,"8517110000","10"
22852,107184,"8517140000","80","Other telephones for cellular networks or for other wireless networks","2022-01-01","#NA",60456,"8517110000","10"
22853,86729,"8517180000","80","Other","2007-01-01","#NA",60456,"8517110000","10"
22854,86735,"8517610000","10","Other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network)","2007-01-01","#NA",50047,"8517000000","80"
22855,86736,"8517610000","80","Base stations","2007-01-01","#NA",86735,"8517610000","10"
22856,86737,"8517620000","80","Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","2007-01-01","#NA",86735,"8517610000","10"
22857,86754,"8517690000","80","Other","2007-01-01","#NA",86735,"8517610000","10"
22858,86755,"8517691000","80","Videophones","2007-01-01","#NA",86754,"8517690000","80"
22859,86756,"8517692000","80","Entry-phone systems","2007-01-01","#NA",86754,"8517690000","80"
22860,102489,"8517693000","80","Reception apparatus for radio-telephony or radio-telegraphy","2017-01-01","#NA",86754,"8517690000","80"
22861,86760,"8517699000","80","Other","2007-01-01","#NA",86754,"8517690000","80"
22862,107185,"8517710000","10","Parts","2022-01-01","#NA",50047,"8517000000","80"
22863,107186,"8517710000","80","Aerials and aerial reflectors of all kinds; parts suitable for use therewith","2022-01-01","#NA",107185,"8517710000","10"
22864,107187,"8517790000","80","Other","2022-01-01","#NA",107185,"8517710000","10"
22865,50091,"8518000000","80","Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric amplifiers; electric sound amplifier sets","1972-01-01","#NA",49496,"8500000000","80"
22866,50092,"8518100000","80","Microphones and stands therefor","1972-01-01","#NA",50091,"8518000000","80"
22867,105060,"8518100010","80","For use in civil aircraft","2020-01-01","#NA",50092,"8518100000","80"
22868,105061,"8518100090","80","Other","2020-01-01","#NA",50092,"8518100000","80"
22869,50095,"8518210000","10","Loudspeakers, whether or not mounted in their enclosures","1972-01-01","#NA",50091,"8518000000","80"
22870,50096,"8518210000","80","Single loudspeakers, mounted in their enclosures","1972-01-01","#NA",50095,"8518210000","10"
22871,50099,"8518220000","80","Multiple loudspeakers, mounted in the same enclosure","1972-01-01","#NA",50095,"8518210000","10"
22872,82656,"8518220010","80","For use in civil aircraft","2006-01-01","#NA",50099,"8518220000","80"
22873,82657,"8518220090","80","Other","2006-01-01","#NA",50099,"8518220000","80"
22874,50102,"8518290000","80","Other","1972-01-01","#NA",50095,"8518210000","10"
